GameID,Season,Date,Team,Home/Away,Opp,Outcome,HomeScore,OppScore,TotalScore,ORtg,DRtg,Pace,FTr,3PAr,TS%,TotalReb%,AST%,STL%,BLK%,eFG,TOV%,ORB%,FTperFGA,eFGagainst,TOVagainst,DRB%,FTperFGAallowed
62,2016,3/5/17,ATL,Home,IND,L,96,97,193,104.4,105.5,92,0.403,0.351,0.53,50,61.8,13,2.2,0.5,13.4,23.9,0.247,0.545,14.7,78.6,0.154
63,2016,3/6/17,ATL,Home,GSW,L,111,119,230,114.3,122.5,97.2,0.378,0.341,0.58,52.2,50,6.2,14,0.543,16.6,31.8,0.268,0.586,12.6,71.7,0.195
64,2016,3/8/17,ATL,Home,BRK,W,110,105,215,102.1,97.5,107.7,0.337,0.211,0.504,54,46.3,11.1,14.9,0.453,12.1,23.9,0.253,0.531,19.5,87.8,0.25
65,2016,3/10/17,ATL,Home,TOR,W,105,99,204,107.4,101.3,97.8,0.387,0.293,0.598,49.5,61.5,8.2,9,0.573,19.3,21.1,0.253,0.424,9.6,69.8,0.228
66,2016,3/11/17,ATL,Away,MEM,W,107,90,197,112,94.2,95.6,0.361,0.417,0.641,52.9,61.1,9.4,9.8,0.604,17.7,17.6,0.278,0.406,11.5,75.5,0.189
67,2016,3/13/17,ATL,Away,SAS,L,99,107,206,97.7,105.6,101.4,0.37,0.272,0.525,45,73,12.8,6.4,0.494,14.5,14,0.235,0.58,19.2,81.1,0.16
68,2016,3/16/17,ATL,Home,MEM,L,91,103,194,99.4,112.5,91.5,0.479,0.38,0.529,44.2,65.5,6.6,14.1,0.465,16.5,20,0.352,0.478,9.9,65.2,0.163
69,2016,3/18/17,ATL,Home,POR,L,97,113,210,97.9,114,99.1,0.364,0.295,0.475,39.3,68.8,13.1,10.1,0.403,11.3,22.6,0.295,0.552,17.3,63.9,0.195
70,2016,3/20/17,ATL,Away,CHO,L,90,105,195,101.5,118.5,88.6,0.119,0.44,0.509,57.7,70.3,3.4,10,0.512,14.5,30,0.048,0.575,7.3,86.8,0.163
71,2016,3/22/17,ATL,Away,WAS,L,100,104,204,98.4,102.3,101.7,0.337,0.291,0.506,44.9,58.8,10.8,8.2,0.442,13.9,22.9,0.279,0.458,15.3,66,0.179
72,2016,3/24/17,ATL,Away,MIL,L,97,100,197,105.4,108.7,92,0.289,0.265,0.518,58.3,58.8,5.4,4.9,0.458,15.4,33.3,0.253,0.489,7.8,80,0.159
73,2016,3/26/17,ATL,Home,BRK,L,92,107,199,90.2,104.9,102,0.327,0.276,0.41,53.7,47.1,9.8,4.7,0.372,15.1,40.6,0.194,0.477,14.6,72.7,0.291
74,2016,3/28/17,ATL,Home,PHO,W,95,91,186,91.1,87.3,104.2,0.341,0.318,0.486,51.5,70.6,4.8,9.2,0.435,16.3,20.9,0.247,0.401,12.3,75,0.146
75,2016,3/29/17,ATL,Away,PHI,W,99,92,191,110.3,102.5,89.7,0.325,0.225,0.541,54,55.9,7.8,6.3,0.481,15.7,35.7,0.275,0.477,13.2,71.1,0.103
76,2016,4/1/17,ATL,Away,CHI,L,104,106,210,108.3,110.4,96,0.189,0.311,0.533,52.9,62.5,4.2,1.8,0.506,11.8,24.4,0.144,0.541,11.6,85,0.165
77,2016,4/2/17,ATL,Away,BRK,L,82,91,173,82.4,91.4,99.5,0.288,0.3,0.455,46.3,63.3,9,8.2,0.419,17.4,15.7,0.188,0.451,17.3,81.8,0.207
78,2016,4/6/17,ATL,Home,BOS,W,123,116,239,118.1,111.3,104.2,0.382,0.258,0.592,57.8,59.1,6.7,8.5,0.556,14.1,31.7,0.27,0.494,10.3,79.6,0.3
79,2016,4/7/17,ATL,Away,CLE,W,114,100,214,117.7,103.3,96.8,0.09,0.416,0.616,52.5,86.7,7.2,6.7,0.596,10.6,14.6,0.09,0.537,12.8,92.3,0.16
80,2016,4/9/17,ATL,Home,CLE,W,126,125,251,117.4,116.4,97.2,0.394,0.33,0.571,45.9,70.5,7.5,7.7,0.516,9.8,20,0.309,0.556,11.6,72.9,0.163
81,2016,4/11/17,ATL,Home,CHO,W,103,76,179,113.9,84.1,90.4,0.228,0.342,0.592,55.6,73.2,6.6,6.2,0.563,15.5,30.6,0.177,0.347,11.9,72.2,0.17
82,2016,4/12/17,ATL,Away,IND,L,86,104,190,96.4,116.5,89.2,0.264,0.403,0.535,47.4,63.3,5.6,6.9,0.493,18.3,19.5,0.208,0.537,10,78.4,0.195
83,2017,10/18/17,ATL,Away,DAL,W,117,111,228,118.7,112.6,98.6,0.16,0.191,0.582,54.9,41.7,11.2,14.6,0.559,11.4,30.4,0.128,0.541,13.6,80,0.209
84,2017,10/20/17,ATL,Away,CHO,L,91,109,200,86.3,103.4,105.4,0.147,0.316,0.45,40,52.8,10.4,8,0.416,11.4,11.8,0.126,0.494,17.5,72.7,0.279
85,2017,10/22/17,ATL,Away,BRK,L,104,116,220,99.5,110.9,104.6,0.383,0.287,0.473,48.5,65.6,5.7,3.3,0.378,12.7,29.6,0.351,0.534,15,71.1,0.264
86,2017,10/23/17,ATL,Away,MIA,L,93,104,197,94.6,105.8,98.3,0.237,0.224,0.554,50,38.9,9.2,2.1,0.52,19.2,16.2,0.184,0.541,17,77.8,0.141
87,2017,10/26/17,ATL,Away,CHI,L,86,91,177,96.2,101.8,89.4,0.16,0.346,0.496,39.2,68.8,11.2,9.3,0.463,10.3,13.7,0.136,0.401,11.6,64.7,0.256
88,2017,10/27/17,ATL,Home,DEN,L,100,105,205,105.1,110.4,95.1,0.135,0.371,0.53,48.3,62.2,7.4,5.6,0.494,11.3,23.9,0.135,0.484,9.8,74.4,0.187
89,2017,10/29/17,ATL,Home,MIL,L,106,117,223,107.3,118.4,98.8,0.338,0.377,0.599,41.9,75,9.1,3.6,0.552,15.3,7.3,0.273,0.623,13.4,84.8,0.198
90,2017,11/1/17,ATL,Away,PHI,L,109,119,228,100.1,109.3,108.9,0.287,0.245,0.515,48,53.7,10.1,6.3,0.479,14.5,24,0.202,0.53,12.7,71.2,0.141
91,2017,11/3/17,ATL,Home,HOU,L,104,119,223,103.6,118.6,100.4,0.222,0.407,0.585,48.2,41,8,19,0.549,16.8,12.5,0.185,0.562,10.8,80,0.213
92,2017,11/5/17,ATL,Away,CLE,W,117,115,232,114.5,112.5,102.2,0.395,0.291,0.579,48.4,58.5,3.9,10,0.541,14.4,25.6,0.279,0.49,10.9,68.8,0.219
93,2017,11/6/17,ATL,Home,BOS,L,107,110,217,111.5,114.6,96,0.247,0.321,0.596,46.2,61.5,8.3,8.9,0.562,13.5,12.5,0.198,0.568,12.5,81.6,0.222
94,2017,11/10/17,ATL,Away,DET,L,104,111,215,107.9,115.2,96.4,0.124,0.27,0.554,46.9,63.6,11.4,11.9,0.539,13.8,26.2,0.09,0.506,14.4,63,0.236
95,2017,11/11/17,ATL,Away,WAS,L,94,113,207,93.8,112.8,100.2,0.205,0.398,0.519,43.2,55.9,11,1.9,0.494,21,24.4,0.145,0.583,20.3,66.7,0.282
96,2017,11/13/17,ATL,Away,NOP,L,105,106,211,112,113.1,93.7,0.103,0.414,0.577,48.6,62.5,14.9,2.4,0.557,15,24.4,0.092,0.633,18.7,78.8,0.147
97,2017,11/15/17,ATL,Home,SAC,W,126,80,206,133.4,84.7,94.4,0.203,0.405,0.732,64.6,80,9.5,10,0.734,17.3,33.3,0.127,0.386,11,80,0.136
98,2017,11/18/17,ATL,Home,BOS,L,99,110,209,106.4,118.2,93.1,0.256,0.308,0.57,46.1,64.9,7.5,2.1,0.532,13,15.8,0.205,0.573,14.2,76.3,0.195
99,2017,11/20/17,ATL,Away,SAS,L,85,96,181,91.5,103.4,92.8,0.094,0.353,0.48,42.2,56.8,7.5,12.1,0.482,14.5,19.1,0.035,0.506,16.4,67.4,0.067
100,2017,11/22/17,ATL,Home,LAC,L,103,116,219,111.4,125.5,92.4,0.181,0.349,0.575,52.2,65,10.8,4.3,0.542,14.3,25,0.157,0.678,15.1,81.8,0.171
101,2017,11/24/17,ATL,Home,NYK,W,116,104,220,119.4,107,97.2,0.121,0.313,0.556,51.3,63.8,7.2,4.2,0.54,7.9,28.3,0.091,0.59,19.2,84.4,0.154
102,2017,11/25/17,ATL,Home,TOR,L,78,112,190,84.5,121.3,92.3,0.307,0.36,0.458,41,69.2,9.7,1.9,0.387,17.5,16.7,0.267,0.625,15.4,69.4,0.083
103,2017,11/30/17,ATL,Home,CLE,L,114,121,235,119.6,127,95.3,0.304,0.392,0.636,42,58.5,9.4,10,0.595,16,22.2,0.253,0.633,17.3,63.6,0.266
104,2017,12/2/17,ATL,Away,BRK,W,114,102,216,118,105.6,96.6,0.141,0.273,0.542,50.5,38.3,12.4,12.5,0.525,7.1,27.7,0.101,0.518,17.2,73.9,0.207
105,2017,12/4/17,ATL,Home,BRK,L,90,110,200,90.1,110.1,99.9,0.329,0.366,0.479,42.2,60,9,4.1,0.421,16.1,18.4,0.256,0.571,19.4,70.7,0.153
106,2017,12/6/17,ATL,Away,ORL,L,106,110,216,99.7,103.5,96.2,0.215,0.29,0.521,48.5,62.5,6.6,4.3,0.489,14.3,22,0.161,0.5,13.1,74.5,0.122
107,2017,12/9/17,ATL,Home,ORL,W,117,110,227,125.1,117.6,93.5,0.313,0.413,0.643,50.6,80.5,7.5,10.3,0.619,11.7,23.7,0.225,0.56,11.2,75.6,0.076
108,2017,12/10/17,ATL,Away,NYK,L,107,111,218,109.6,113.7,97.6,0.39,0.403,0.593,51.5,59.5,5.1,6.3,0.539,15.1,18.2,0.312,0.519,11.2,82.9,0.35
109,2017,12/12/17,ATL,Away,CLE,L,114,123,237,120,129.5,95,0.141,0.391,0.583,50,60.5,8.4,8.3,0.554,9.3,24.4,0.13,0.674,12.6,81.8,0.081
110,2017,12/14/17,ATL,Home,DET,L,91,105,196,100.6,116,90.5,0.371,0.443,0.559,42.5,87.5,6.6,10,0.536,16.4,17.9,0.229,0.528,13.6,65.9,0.111
111,2017,12/15/17,ATL,Away,MEM,L,94,96,190,100.9,103,93.2,0.208,0.403,0.559,44.9,79.4,12.9,9.4,0.519,16.8,17.5,0.182,0.538,19.7,73.7,0.154
